name,brand,model,version,years,fuel,car_type,power,torque,consumption,zero100,speed_max,price_min,price_max,reliability,comfort,fun,pros,cons,ideal,checks,mods,avoid,verdict
BMW 116d,BMW,116d,116d,2012-oggi,Diesel,Utilitaria/Compatta,102,204,4.3,10.6,211,13200,23200,8,7,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 118d,BMW,118d,118d,2012-oggi,Diesel,Utilitaria/Compatta,114,228,4.7,10.2,217,14400,25400,9,8,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 120d,BMW,120d,120d,2012-oggi,Diesel,Utilitaria/Compatta,126,252,5.0,9.9,223,15600,27600,7,9,8,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 320d,BMW,320d,320d,2012-oggi,Diesel,Utilitaria/Compatta,138,276,5.4,9.6,229,16800,29800,8,6,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 330d,BMW,330d,330d,2012-oggi,Diesel,Utilitaria/Compatta,150,300,5.8,9.2,235,18000,32000,9,7,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 420d,BMW,420d,420d,2012-oggi,Diesel,Utilitaria/Compatta,162,324,6.1,8.9,241,19200,34200,7,8,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW 520d,BMW,520d,520d,2012-oggi,Diesel,Utilitaria/Compatta,174,348,6.4,8.5,247,20400,36400,8,9,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW X1 18d,BMW,X1,18d,2012-oggi,Diesel,SUV compatto,186,372,4.0,8.2,253,21600,30600,9,6,8,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW X3 20d,BMW,X3,20d,2012-oggi,Diesel,SUV compatto,198,396,4.3,7.8,259,22800,32800,7,7,9,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
BMW M140i,BMW,M140i,M140i,2012-oggi,Benzina,Utilitaria/Compatta,210,420,4.7,7.5,265,24000,35000,8,8,5,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi A1 1.4 TFSI,Audi,A1,1.4 TFSI,2012-oggi,Benzina,Utilitaria/Compatta,222,444,5.0,7.2,271,25200,37200,9,9,6,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
Audi A3 2.0 TDI,Audi,A3,2.0 TDI,2012-oggi,Diesel,Utilitaria/Compatta,90,180,5.4,10.9,205,26400,39400,7,6,7,"Modello diffuso, buona disponibilita sul mercato usato, ricambi reperibili e buon equilibrio generale.","Verificare sempre manutenzione, chilometri reali, stato meccanico, gomme, freni ed eventuali modifiche precedenti.","Uso quotidiano, acquisto usato, confronto con modelli simili e valutazione in base al budget.","Controllare storico tagliandi, frizione, cambio, motore, elettronica, gomme, freni, sospensioni e carrozzeria.","Gomme di qualita, manutenzione completa, freni in ordine, cerchi omologati e modifiche estetiche leggere.","Evitare modifiche non omologate, rimappe aggressive, scarichi illegali, eliminazione dispositivi antinquinamento e assetti estremi.","Scelta interessante se il prezzo e coerente, la manutenzione e documentata e l'esemplare e in buone condizioni."
